Region,DlyCigs11,RiskAlc11,mrjyr,Defect,Rate,TobEst,Tob.P,AlcEst,Alc.P,MrjEst,Mrj.P
Darling Downs,20.85,24.85,5.6,CNS_Defects,3.9,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Gold Coast,14.5,33,12.3,CNS_Defects,4,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Mackay,19.65,39.9,10.9,CNS_Defects,3.7,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Metro South,10.55,28.05,11.4,CNS_Defects,3.7,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
South West,14.65,26.75,7,CNS_Defects,4.3,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Sunshine Coast,12.5,29.15,11.2,CNS_Defects,4.3,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Townsville,22.85,42.35,13.9,CNS_Defects,5,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
West Moreton,7.45,30.8,9.3,CNS_Defects,4,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Wide Bay,23.55,27.65,11.2,CNS_Defects,6.1,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Central West,19.65,39.9,10.9,CNS_Defects,7.1,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
North West,15.5,33.6,6.2,CNS_Defects,3,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Central Queensland,15.5,33.6,6.2,CNS_Defects,5.4,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Cairns and Hinterland,20.15,29.45,16.5,CNS_Defects,3.5,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Metro North,8.95,26.8,5.5,CNS_Defects,4.1,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Torres and Cape,20.15,29.45,16.5,CNS_Defects,5.3,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
North Coast,15.5,29.1,18.6,CNS_Defects,7.5,0.01610969393168016,0.24056264860383422,0.22708019696122286,0.6016016280158201,0.024269113136783208,0.12997546028409318
Darling Downs,20.85,24.85,5.6,Neural_tube_defects,1.4,0.023448742982083434,0.1862964470661233,0.07586945694405328,0.8938625521418232,0.021222471358692267,0.32040876531858276
Gold Coast,14.5,33,12.3,Neural_tube_defects,1.3,0.023448742982083434,0.1862964470661233,0.07586945694405328,0.8938625521418232,0.021222471358692267,0.32040876531858276
Mackay,19.65,39.9,10.9,Neural_tube_defects,1.1,0.023448742982083434,0.1862964470661233,0.07586945694405328,0.8938625521418232,0.021222471358692267,0.32040876531858276
